data,campeonatoAno,ginasio,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora
17/10/2022,2022/2023,Centro de Formação Olímpica                                    ,1º TURNO,Fortaleza B. C.,80,3,29,13,44,20,9,6,27,Cerrado Basquete,86,12,15,20,34,12,11,1,23
15/10/2022,2022/2023,Arena UniBH                                    ,1º TURNO,123 Minas,73,8,22,5,39,16,6,2,22,Flamengo,85,13,14,18,36,22,4,3,14
17/10/2022,2022/2023,Gin. Felipe Karam                                    ,1º TURNO,Rio Claro,71,6,20,13,35,10,7,2,17,São Paulo,98,17,20,7,33,20,6,0,13
19/10/2022,2022/2023,Centro de Formação Olímpica                                    ,1º TURNO,Fortaleza B. C.,62,4,18,14,50,8,7,2,29,BRB/Brasília,75,6,20,17,41,11,6,0,28
18/10/2022,2022/2023,Ginásio Pedrocão                                    ,1º TURNO,Sesi Franca,83,12,18,11,55,16,4,4,16,Paulistano,62,4,20,10,45,13,10,2,24
17/10/2022,2022/2023,Ginásio do Sesi                                    ,1º TURNO,Pato Basquete,61,9,14,6,42,7,10,1,10,Oscar São José Basketball,71,11,16,6,45,17,8,1,14
18/10/2022,2022/2023,Poliesportivo H. Villaboim                                    ,1º TURNO,Pinheiros,81,9,17,20,28,25,9,4,12,123 Minas,72,12,13,10,38,21,5,2,20
17/10/2022,2022/2023,Arena UNIFACISA                                    ,1º TURNO,UNIFACISA,84,13,21,3,34,22,5,0,18,BRB/Brasília,71,6,23,7,32,17,5,0,16
24/10/2022,2022/2023,Poliesportivo H. Villaboim                                    ,1º TURNO,Paulistano,76,9,19,11,44,24,7,3,18,Pato Basquete,69,8,18,9,32,10,18,0,17
15/10/2022,2022/2023,Ginásio Wlamir Marques                                    ,1º TURNO,Corinthians,82,5,26,15,28,20,7,4,18,Oscar São José Basketball,77,9,18,14,38,20,7,0,18
24/10/2022,2022/2023,Arena UniBH                                    ,1º TURNO,123 Minas,92,12,24,8,41,22,11,1,21,Sesi Franca,94,12,20,18,39,21,4,1,16
15/10/2022,2022/2023,Gin. Felipe Karam                                    ,1º TURNO,Rio Claro,93,7,31,10,32,18,5,4,23,Paulistano,88,7,22,23,34,17,8,1,16
15/10/2022,2022/2023,Arena UNIFACISA                                    ,1º TURNO,UNIFACISA,90,6,30,12,40,24,7,2,20,Cerrado Basquete,79,10,17,15,27,19,9,0,16
24/10/2022,2022/2023,Arena BRB Nilson Nelson                                    ,1º TURNO,BRB/Brasília,68,6,14,22,44,14,4,0,23,Pinheiros,71,5,19,18,57,11,7,3,25
22/10/2022,2022/2023,ASCEB                                    ,1º TURNO,Cerrado Basquete,93,20,11,11,37,16,8,2,18,Pinheiros,95,10,23,19,49,20,6,7,17
