campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos3PtsTimeCasa,acertos2PtsTimeCasa,acertosTotaisTimeCasa,LanceLivreTimeCasa,rebotesTimeCasa,assistsTimeCasa,RoubadasTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,timeFora,pontosTimeFora,acertos3PtsTimeFora,acertos2PtsTimeFora,acertosTotaisTimeFora,LanceLivreTimeFora,rebotesTimeFora,assistsTimeFora,RoubadasTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora
2022/2023,1º TURNO,123 Minas,73,8,22,30,5,39,16,6,2,22,83,44,28,7,Flamengo,85,13,14,27,18,36,22,4,3,14,101,22,35,26
2022/2023,1º TURNO,UNIFACISA,84,13,21,34,3,34,22,5,0,18,99,39,25,7,BRB/Brasília,71,6,23,29,7,32,17,5,0,16,74,33,28,15
2022/2023,1º TURNO,Sesi Franca,83,12,18,30,11,55,16,4,4,16,98,32,31,23,Paulistano,62,4,20,24,10,45,13,10,2,24,61,59,24,15
2022/2023,1º TURNO,Fortaleza B. C.,80,3,29,32,13,44,20,9,6,27,91,50,16,29,Cerrado Basquete,86,12,15,27,20,34,12,11,1,23,82,27,32,33
2022/2023,1º TURNO,Pinheiros,81,9,17,26,20,28,25,9,4,12,98,33,30,23,123 Minas,72,12,13,25,10,38,21,5,2,20,83,31,24,11
2022/2023,1º TURNO,Corinthians,82,5,26,31,15,28,20,7,4,18,95,39,20,21,Oscar São José Basketball,77,9,18,27,14,38,20,7,0,18,84,28,35,20
2022/2023,1º TURNO,Fortaleza B. C.,62,4,18,22,14,50,8,7,2,29,53,38,25,33,BRB/Brasília,75,6,20,26,17,41,11,6,0,28,73,39,24,28
2022/2023,1º TURNO,BRB/Brasília,68,6,14,20,22,44,14,4,0,23,65,35,28,32,Pinheiros,71,5,19,24,18,57,11,7,3,25,80,45,32,24
2022/2023,1º TURNO,Flamengo,80,13,17,30,7,55,26,6,3,15,105,31,39,17,Fortaleza B. C.,60,7,15,22,9,41,6,8,1,19,49,41,30,16
2022/2023,1º TURNO,Rio Claro,71,6,20,26,13,35,10,7,2,17,68,44,22,18,São Paulo,98,17,20,37,7,33,20,6,0,13,118,33,33,8
2022/2023,1º TURNO,Pato Basquete,61,9,14,23,6,42,7,10,1,10,56,35,35,10,Oscar São José Basketball,71,11,16,27,6,45,17,8,1,14,87,34,32,9
2022/2023,1º TURNO,Rio Claro,93,7,31,38,10,32,18,5,4,23,113,42,21,12,Paulistano,88,7,22,29,23,34,17,8,1,16,96,42,26,28
2022/2023,FINAL,Sesi Franca,92,8,27,35,14,46,15,12,4,21,112,39,32,19,São Paulo,68,9,17,26,7,33,19,11,1,20,68,42,25,13
2022/2023,1º TURNO,UNIFACISA,90,6,30,36,12,40,24,7,2,20,115,43,16,18,Cerrado Basquete,79,10,17,27,15,27,19,9,0,16,79,29,34,22
2022/2023,1º TURNO,123 Minas,92,12,24,36,8,41,22,11,1,21,109,47,31,12,Sesi Franca,94,12,20,32,18,39,21,4,1,16,103,35,30,26
2022/2023,2º TURNO,São Paulo,95,10,27,37,11,44,21,10,0,9,126,38,30,12,Cerrado,64,11,14,25,3,34,16,5,2,10,59,31,41,4
2022/2023,1º TURNO,Cerrado Basquete,93,20,11,31,11,37,16,8,2,18,97,24,52,13,Pinheiros,95,10,23,33,19,49,20,6,7,17,120,48,25,21
2022/2023,1º TURNO,Paulistano,76,9,19,28,11,44,24,7,3,18,96,36,23,15,Pato Basquete,69,8,18,26,9,32,10,18,0,17,66,38,29,17
2022/2023,SEMI,123 Minas,91,9,22,31,20,37,20,4,0,23,99,38,24,29,Sesi Franca,95,13,19,32,18,29,20,4,2,25,102,31,34,25
2022/2023,FINAL,São Paulo,92,14,15,29,20,27,20,6,2,23,106,27,30,22,Sesi Franca,94,9,23,32,21,38,13,6,2,22,105,42,29,21
2022/2023,FINAL,Sesi Franca,81,12,10,22,25,36,11,5,5,22,87,24,33,31,São Paulo,86,11,19,30,15,44,15,5,1,25,99,38,31,17
2022/2023,FINAL,Sesi Franca,88,9,23,32,15,36,19,2,5,18,100,34,28,21,São Paulo,98,13,22,35,15,30,22,7,0,24,114,41,28,19
2022/2023,FINAL,São Paulo,80,10,17,27,16,41,9,6,2,26,84,40,28,19,Sesi Franca,88,10,18,28,22,42,19,4,7,22,109,40,26,26
