campeonatoAno,fase,timeCasa,pontosTimeCasa,acertos2PtsTimeCasa,acertos3PtsTimeCasa,acertosTotaisTimeCasa,LancesLivresCertosTimeCasa,rebotesDefensivosTimeCasa,rebotesOfensivosTimeCasa,rebotesTotaisTimeCasa,assistsTimeCasa,RoubadasTimeCasa,ErrosTimeCasa,TocosTimeCasa,FaltasTimeCasa,EficienciaTimeCasa,Arremessos2PtsTimeCasa,Arremessos3PtsTimeCasa,ArremessosLLTimeCasa,ArremessosTotaisTimeCasa,timeFora,pontosTimeFora,acertos2PtsTimeFora,acertos3PtsTimeFora,acertosTotaisTimeFora,LancesLivresCertosTimeFora,rebotesDefensivosTimeFora,rebotesOfensivosTimeFora,rebotesTotaisTimeFora,assistsTimeFora,RoubadasTimeFora,ErrosTimeFora,TocosTimeFora,FaltasTimeFora,EficienciaTimeFora,Arremessos2PtsTimeFora,Arremessos3PtsTimeFora,ArremessosLLTimeFora,ArremessosTotaisTimeFora
2022/2023,1º TURNO,123 Minas,73,22,8,30,5,21,18,39,16,6,9,2,22,83,44,28,7,72,Flamengo,85,14,13,27,18,26,10,36,22,4,11,3,14,101,22,35,26,57
2022/2023,1º TURNO,Corinthians,82,26,5,31,15,24,4,28,20,7,12,4,18,95,39,20,21,59,Oscar São José Basketball,77,18,9,27,14,26,12,38,20,7,16,0,18,84,28,35,20,63
2022/2023,1º TURNO,Fortaleza B. C.,62,18,4,22,14,36,14,50,8,7,16,2,29,53,38,25,33,63,BRB/Brasília,75,20,6,26,17,34,7,41,11,6,12,0,28,73,39,24,28,63
2022/2023,1º TURNO,UNIFACISA,84,21,13,34,3,27,7,34,22,5,12,0,18,99,39,25,7,64,BRB/Brasília,71,23,6,29,7,24,8,32,17,5,11,0,16,74,33,28,15,61
2022/2023,1º TURNO,Sesi Franca,83,18,12,30,11,39,16,55,16,4,19,4,16,98,32,31,23,63,Paulistano,62,20,4,24,10,23,22,45,13,10,7,2,24,61,59,24,15,83
2022/2023,1º TURNO,Rio Claro,71,20,6,26,13,21,14,35,10,7,12,2,17,68,44,22,18,66,São Paulo,98,20,17,37,7,25,8,33,20,6,9,0,13,118,33,33,8,66
2022/2023,1º TURNO,Pato Basquete,61,14,9,23,6,24,18,42,7,10,14,1,10,56,35,35,10,70,Oscar São José Basketball,71,16,11,27,6,31,14,45,17,8,13,1,14,87,34,32,9,66
2022/2023,1º TURNO,Rio Claro,93,31,7,38,10,26,6,32,18,5,12,4,23,113,42,21,12,63,Paulistano,88,22,7,29,23,19,15,34,17,8,8,1,16,96,42,26,28,68
2022/2023,1º TURNO,UNIFACISA,90,30,6,36,12,32,8,40,24,7,19,2,20,115,43,16,18,59,Cerrado Basquete,79,17,10,27,15,18,9,27,19,9,12,0,16,79,29,34,22,63
2022/2023,1º TURNO,BRB/Brasília,68,14,6,20,22,34,10,44,14,4,12,0,23,65,35,28,32,63,Pinheiros,71,19,5,24,18,36,21,57,11,7,10,3,25,80,45,32,24,77
